journal_name,publisher,areas,issn,abs_level,ft50,utd24,abdc,sjr,impact_factor,journal_weight
Accident Analysis and Prevention,Elsevier,Operations & Technology Management,0001-4575;1879-2057,3,0,0,A*,,7.846,13.27
Industrial Marketing Management,Elsevier,Marketing,0019-8501;1873-2062,3,0,0,A*,,7.815,13.26
Journal of Financial Stability,Elsevier,Finance,1572-3089;1878-0962,3,0,0,A*,,6.713,12.8
Journal of Sustainable Tourism,Taylor & Francis Online,Tourism & Hospitality Management,0966-9582;1747-7646,3,0,0,A*,,6.673,12.78
Information & Management,Elsevier,Information Systems,0378-7206;1872-7530,3,0,0,A*,,6.582,12.74
INFORMS Journal on Computing,Institute for Operations Research and the Management Sciences,Operations Research & Management Science,1091-9856;1526-5528;0899-1499;2326-3245,3,0,1,A,,1.591,12.54
American Economic Journal: Economic Policy,American Economic Association,Economics,1945-7731;1945-774X;1945-7812,3,0,0,A*,,5.994,12.5
Transportation Science,The Institute for Operations Research and the Management Sciences (INFORMS),Operations & Technology Management,0041-1655;1526-5447,3,0,0,A*,,5.78,12.41
British Accounting Review,Elsevier,Accounting,0890-8389;1095-8347,3,0,0,A*,,5.427,12.26
Journal of Urban Economics,Elsevier,Economics,0094-1190;1095-9068,3,0,0,A*,,5.424,12.26
World Development,Elsevier,Economics,0305-750X;1873-5991,3,0,0,A*,,5.38,12.24
Journal of Environmental Economics and Management,Elsevier,Economics,0095-0696;1096-0449,3,0,0,A*,,5.204,12.17
MIT Sloan Management Review,Massachusetts Institute of Technology,General Management,1532-9194;1532-8937,3,1,0,A,,0.36,12.03
European Journal of Marketing,Emerald Group Publishing,Marketing,0309-0566;1758-7123,3,0,0,A*,,4.866,12.03
American Economic Review: Insights,American Economic Association,Economics,2640-205X;2640-2068,3,0,0,A*,,4.717,11.97
Transportation Research Part A: Policy and Practice,Elsevier,Operations & Technology Management,0965-8564;1879-2375,3,0,0,A*,,4.673,11.95
Harvard Business Review,Harvard Business Publishing,General Management,0017-8012,3,1,0,A,,0.0,11.88
Journal of Banking & Finance,Elsevier,Finance,0378-4266;1872-6372,3,0,0,A*,,4.434,11.85
Review of Asset Pricing Studies,Oxford University Press,Finance,2045-9920;2045-9939,3,0,0,A*,,4.205,11.75
Journal of Development Economics,Elsevier,Economics,0304-3878;1872-6089,3,0,0,A*,,3.875,11.61
Journal of Public Economics,Elsevier,Economics,0047-2727;1879-2316,3,0,0,A*,,3.814,11.59
Management Accounting Research,Elsevier,Accounting,1044-5005;1096-1224,3,0,0,A*,,3.673,11.53
Journal of Applied Econometrics,Wiley-Blackwell Publishing,Econometrics,0883-7252;1099-1255,3,0,0,A*,,3.43,11.43
American Economic Journal: Microeconomics,American Economic Association,Economics,1945-7669;1945-7685,3,0,0,A*,,3.383,11.41
Journal of Population Economics,Springer International Publishing,Economics,0933-1433;1432-1475,3,0,0,A*,,3.283,11.37
The Journal of Law and Economics,University of Chicago Law School,Economics,0022-2186;1537-5285,3,0,0,A*,,3.21,11.34
European Economic Review,Elsevier,Economics,0014-2921;1873-572X,3,0,0,A*,,3.202,11.33
Journal of Economic Growth,Springer International Publishing,Economics,1381-4338;1573-7020,3,0,0,A*,,3.161,11.32
Journal of Health Economics,Elsevier,Economics,0167-6296;1879-1646,3,0,0,A*,,3.105,11.29
Journal of Accounting and Public Policy,Elsevier,Accounting,0278-4254;1873-2070,3,0,0,A*,,2.856,11.19
Financial Management,Wiley-Blackwell Publishing,Finance,0046-3892;1755-053X,3,0,0,A*,,2.839,11.18
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,Accounting,0951-3574;1758-4205;1368-0668;2051-3151,3,0,0,A*,,2.791,11.16
Journal of Economic Behavior and Organization,Elsevier,Economics,0167-2681;1879-1751,3,0,0,A*,,2.769,11.15
The European Accounting Review,Taylor & Francis Online,Accounting,0963-8180;1468-4497,3,0,0,A*,,2.725,11.14
American Journal of Agricultural Economics,Oxford University Press,Economics,0002-9092;1467-8276,3,0,0,A*,,2.7,11.12
Journal of the Association of Environmental and Resource Economists,University of Chicago Press,Economics,2333-5955;2333-5963,3,0,0,A*,,2.53,11.05
Journal of Business Finance & Accounting,Wiley-Blackwell Publishing,Accounting,0306-686X;1468-5957,3,0,0,A*,,2.377,10.99
Econometrics Journal,Oxford University Press,Econometrics,1368-4221;1368-423X,3,0,0,A*,,2.329,10.97
Academy of Management Discoveries,Academy of Management,Strategy,2168-1007,3,0,0,A*,,2.307,10.96
Labour Economics,Elsevier,Economics,0927-5371;1879-1034,3,0,0,A*,,2.265,10.94
International Journal of Industrial Organization,Elsevier,Economics,0167-7187;1873-7986,3,0,0,A*,,2.237,10.93
Review of Corporate Finance Studies,Oxford University Press,Finance,2046-9128;2046-9136,3,0,0,A*,,2.173,10.91
Journal of Financial Markets,Elsevier,Finance,1386-4181;1878-576X,3,0,0,A*,,2.034,10.85
The Journal of Economic History,Cambridge University Press,Economics,0022-0507;1471-6372,3,0,0,A*,,2.02,10.84
Review of Economic Dynamics,Elsevier,Economics,1094-2025;1096-6099,3,0,0,A*,,2.0,10.83
Journal of Risk and Uncertainty,Springer International Publishing,Economics,0895-5646;1573-0476,3,0,0,A*,,1.976,10.82
Journal of Economic Dynamics and Control,Elsevier,Economics,0165-1889;1879-1743,3,0,0,A*,,1.955,10.81
Journal of Conflict Resolution,Sage Publications,Economics,0022-0027;1552-8766,3,0,0,A*,,1.852,10.77
Economic Theory,Springer International Publishing,Economics,0938-2259;1432-0479,3,0,0,A*,,1.801,10.75
Experimental Economics,Springer International Publishing,Economics,1386-4157;1573-6938,3,0,0,A*,,1.8,10.75
Decision Sciences,Wiley-Blackwell Publishing,Operations & Technology Management,0011-7315;1540-5915,3,0,0,A*,,1.561,10.65
Journal of Human Resources,The University of Wisconsin Press,Economics,0022-166X;1548-8004,3,0,0,A*,,1.411,10.59
